price,engine,cylinders,fuel,mileage,transmission,trim,body,doors,exterior_color,interior_color,drivetrain,car_age,make_model
50184.0,25,6.0,4,6.0,14,75,6,4.0,43,32,1,1,63
40380.0,16,4.0,4,1.0,16,20,5,4.0,148,5,0,1,54
55353.0,8,4.0,4,8.0,23,43,6,4.0,83,34,0,1,79
72357.0,5,4.0,0,9.0,23,11,0,3.0,100,5,3,1,93
34492.0,9,4.0,5,10.0,6,38,6,4.0,226,5,0,1,58
36000.0,16,4.0,4,10.0,16,21,5,4.0,19,5,0,1,54
35999.0,8,4.0,4,0.0,14,73,6,4.0,123,5,1,1,61
53160.0,25,6.0,4,6.0,14,75,6,4.0,126,5,1,1,63
59116.0,73,4.0,4,3.0,27,26,6,4.0,71,32,1,1,64
67510.0,66,6.0,4,10.0,27,101,6,4.0,8,5,1,1,69
48187.0,24,6.0,4,4.0,0,46,4,4.0,163,2,2,1,49
25923.0,8,4.0,4,25.0,14,4,7,4.0,140,5,2,1,115
50702.0,25,6.0,4,6.0,14,75,6,4.0,123,5,1,1,63
75595.0,9,4.0,5,6.0,14,137,6,4.0,41,15,0,1,119
51845.0,9,4.0,5,7.0,14,131,6,4.0,147,5,1,1,70
60915.0,21,6.0,4,31.0,23,90,6,4.0,185,41,2,1,12
71167.0,19,6.0,0,9.0,6,37,5,4.0,43,5,1,1,104
41975.0,16,4.0,4,1.0,16,21,5,4.0,148,5,0,1,54
32520.0,7,4.0,5,10.0,6,107,7,4.0,166,34,2,1,56
48861.0,39,4.0,4,16.0,27,120,6,4.0,227,5,0,2,73
31537.0,8,4.0,4,11.0,6,63,6,4.0,210,50,0,1,15
47175.0,66,6.0,4,0.0,27,31,6,4.0,143,32,1,1,63
51585.0,9,4.0,5,10.0,6,96,6,4.0,1,5,0,1,26
86097.0,23,6.0,4,9711.0,14,130,6,4.0,172,66,1,2,68
37946.0,21,6.0,4,9.0,23,118,5,4.0,85,15,3,1,95
31301.0,8,4.0,4,2.0,6,13,6,4.0,130,41,0,1,15
